Date,Dissolved Organic Matter
2018-06-01,0.562575642832389
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-02,
2018-06-02,
2018-06-02,0.5801520469538597
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,0.5652838863330572
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,0.5867988701289272
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,0.5621521291727127
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,0.5790495741364555
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,0.5788129167317624
2018-06-07,0.5585897436465501
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-09,
2018-06-09,0.5552103686350018
2018-06-09,
2018-06-09,0.5810113577576093
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,0.5569166415902161
2018-06-10,0.5771593231582276
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-13,0.57820179318503
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,0.6056781944843753
2018-06-13,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,0.5872057430801041
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,0.60064296250525
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
