,Suspended Matter
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,0.6342766941542217
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-17,
2018-05-17,
2018-05-17,0.6306215649402754
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,0.6561263539480876
2018-05-17,
2018-05-17,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,0.6265913753578733
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,0.6530895087204834
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
