Date,Turbidity
18-12-2018,-0.023708963
23-12-2018,-0.157288015
28-12-2018,-0.194342782
02-01-2019,-0.185705059
07-01-2019,-0.174609635
12-01-2019,-0.085429059
17-01-2019,-0.077273503
22-01-2019,-0.161078568
27-01-2019,-0.103515932
01-02-2019,-0.232032338
06-02-2019,-0.118834938
11-02-2019,-0.064314487
16-02-2019,-0.230434608
21-02-2019,-0.263054277
26-02-2019,-0.468061671
08-03-2019,-0.122613608
13-03-2019,-0.237634017
18-03-2019,-0.055994533
23-03-2019,-0.039806233
28-03-2019,-0.118718892
02-04-2019,-0.054647132
07-04-2019,-0.090972367
12-04-2019,-0.038356087
17-04-2019,-0.068825903
22-04-2019,-0.016634426
27-04-2019,-0.097741748
02-05-2019,-0.077227277
07-05-2019,-0.062418738
12-05-2019,-0.05494866
17-05-2019,-0.020155997
22-05-2019,-0.062649899
27-05-2019,-0.124639222
01-06-2019,-0.065505186
06-06-2019,-0.068340316
11-06-2019,-0.037660512
04-10-2019,-0.036567473
09-10-2019,-0.050790811
14-10-2019,-0.140095389
23-11-2019,-0.122383223
28-11-2019,-0.146348707
03-12-2019,-0.143309709
08-12-2019,-0.105254494
13-12-2019,-0.177770102
18-12-2019,-0.160384517
23-12-2019,-0.203820088
28-12-2019,-0.093148359
12-01-2020,-0.262891362
17-01-2020,-0.233363269
01-02-2020,-0.162594861
06-02-2020,-0.173910137
11-02-2020,-0.20998395
16-02-2020,-0.282515275
21-02-2020,-0.421481892
26-02-2020,-0.127425137
02-03-2020,-0.252294228
07-03-2020,-0.201408893
12-03-2020,-0.165768454
17-03-2020,-0.040722544
22-03-2020,-0.045188864
01-04-2020,-0.001264512
06-04-2020,-0.027855023
11-04-2020,-0.101671386
16-04-2020,-0.051631908
21-04-2020,-0.05682684
26-04-2020,-0.073258597
01-05-2020,-0.098429
06-05-2020,-0.046919817
11-05-2020,-0.066411251
16-05-2020,-0.075930103
21-05-2020,-0.067320706
26-05-2020,-0.074226221
31-05-2020,-0.057616479
05-06-2020,-0.048578102
10-06-2020,-0.088093682
30-06-2020,-0.065430196
28-09-2020,-0.037749362
18-10-2020,-0.11717986
23-10-2020,-0.128034065
28-10-2020,-0.130900197
02-11-2020,-0.113461261
07-11-2020,-0.102594175
12-11-2020,-0.101004182
17-11-2020,-0.140820592
22-11-2020,-0.138243078
27-11-2020,-0.151556865
02-12-2020,-0.131182757
07-12-2020,-0.196257426
17-12-2020,-0.178048059
22-12-2020,-0.123157821
27-12-2020,-0.22710401
01-01-2021,-0.132308782
06-01-2021,-0.112525013
16-01-2021,-0.095476221
21-01-2021,-0.117197774
26-01-2021,-0.118557115
31-01-2021,-0.208076833
05-02-2021,-0.312458146
10-02-2021,-0.073247223
15-02-2021,-0.294026945
20-02-2021,-0.146767939
25-02-2021,-0.269604004
02-03-2021,-0.27916215
07-03-2021,-0.410897535
17-03-2021,-0.427991767
27-03-2021,-0.067063232
01-04-2021,-0.10897838
06-04-2021,-0.105811486
11-04-2021,-0.078839276
16-04-2021,-0.071289267
26-04-2021,-0.07859977
06-05-2021,-0.10382024
11-05-2021,-0.091342628
16-05-2021,-0.102631375
21-05-2021,-0.096337969
26-05-2021,-0.066548276
05-07-2021,-0.058185857
13-10-2021,-0.062933603
23-10-2021,-0.134197218
28-10-2021,-0.124063249
02-11-2021,-0.114298001
07-11-2021,-0.129533005
12-11-2021,-0.05328073
27-11-2021,-0.150621664
07-12-2021,-0.119638728
12-12-2021,-0.08799563
22-12-2021,-0.105855637
27-12-2021,-0.103076119
21-01-2022,-0.107609411
26-01-2022,-0.107114555
31-01-2022,-0.023471171
05-02-2022,-0.011731654
10-02-2022,0.001260686
15-02-2022,-0.009070238
20-02-2022,-0.034139946
02-03-2022,-0.007935834
12-03-2022,0.013853921
17-03-2022,0.016321888
22-03-2022,0.009946312
27-03-2022,-0.0120947
01-04-2022,-0.007919904
06-04-2022,0.007627712
16-04-2022,-0.012490445
26-04-2022,-0.006606059
01-05-2022,-0.020295534
06-05-2022,-0.01015685
11-05-2022,0.010273453
16-05-2022,0.020179109
21-05-2022,-0.005618668
26-05-2022,0.00543507
31-05-2022,0.004661206
03-10-2022,0.015439193
13-10-2022,-0.025958853
18-10-2022,-0.019754585
23-10-2022,-0.023518688
28-10-2022,-0.023599702
02-11-2022,-0.014573981
07-11-2022,-0.020266882
12-11-2022,-0.021399078
17-11-2022,-0.038339589
22-11-2022,-0.012051074
27-11-2022,-0.027252335
02-12-2022,-0.019918078
07-12-2022,-0.02259716
17-12-2022,-0.015048053
22-12-2022,-0.028845583
27-12-2022,-0.040339812
